,Unnamed: 0,Date,Home,xG_Home,xG_Away,Away,Referee,xGA_Home,xGA_Away,Home_Fatigue,Away_Fatigue,Temp,Humidity,Wind,Referee_Bias,G_Home,G_Away,Result
32,32,01-09-2018 17:30,Manchester City,2.6,1.4,Newcastle Utd,Kevin Friend,2.4,0.9,Moderate,Low,Moderate,Moderate,Low,Away,3,0,Home
33,33,02-09-2018 13:30,Cardiff City,1.9,0.2,Arsenal,Anthony Taylor,0.8,0.1,Low,Low,Moderate,Moderate,Low,Home,1,0,Home
34,34,02-09-2018 16:00,Watford,0.3,1.0,Tottenham,Andre Marriner,0.3,0.9,Moderate,High,Low,High,Moderate,Away,0,1,Away
35,35,02-09-2018 16:00,Burnley,0.9,1.5,Manchester Utd,Jonathan Moss,0.5,0.7,Moderate,Low,Low,High,Low,Home,0,2,Away
36,36,15-09-2018 12:30,Tottenham,1.4,0.9,Liverpool,Michael Oliver,1.1,0.8,Low,Low,Moderate,Moderate,Low,Away,2,3,Away
37,37,15-09-2018 15:00,Manchester City,2.4,1.5,Fulham,Stuart Attwell,3.1,0.2,Low,Low,Moderate,High,Moderate,Home,1,1,Draw
38,38,15-09-2018 15:00,Newcastle Utd,1.5,2.4,Arsenal,Lee Probert,1.1,0.7,Moderate,Low,Low,High,Low,Away,2,3,Away
39,39,15-09-2018 15:00,Bournemouth,0.9,0.9,Leicester City,Craig Pawson,0.7,0.9,Moderate,Low,Low,High,Moderate,Home,1,2,Away
40,40,15-09-2018 15:00,Chelsea,2.4,0.6,Cardiff City,Jonathan Moss,0.7,0.4,Low,Low,Low,High,Low,Home,2,1,Home
41,41,15-09-2018 17:30,Watford,1.2,1.4,Manchester Utd,Mike Dean,2.6,0.6,Moderate,Moderate,Low,High,Low,Away,1,1,Draw
42,42,16-09-2018 13:30,Wolves,5.9,0.4,Burnley,Andre Marriner,4.3,0.4,Moderate,Moderate,Moderate,Moderate,Moderate,Home,8,0,Home
43,43,16-09-2018 16:00,Everton,0.9,1.5,West Ham,Martin Atkinson,0.8,1.3,Moderate,High,Moderate,Moderate,Moderate,Home,1,1,Draw
44,44,17-09-2018 20:00,Southampton,0.5,2.5,Brighton,Anthony Taylor,0.4,1.6,Moderate,Moderate,Moderate,High,Moderate,Home,0,2,Away
45,45,22-09-2018 12:30,Fulham,1.4,1.2,Watford,Martin Atkinson,0.7,1.0,Low,Moderate,Low,High,High,Home,1,2,Away
46,46,22-09-2018 15:00,Crystal Palace,2.7,0.7,Newcastle Utd,Andre Marriner,2.5,0.5,Low,Low,Moderate,Moderate,Moderate,Home,1,0,Home
47,47,22-09-2018 15:00,Cardiff City,2.5,2.0,Manchester City,Michael Oliver,2.0,1.7,Moderate,Moderate,Low,High,Moderate,Away,2,2,Draw
48,48,22-09-2018 15:00,Liverpool,1.2,0.6,Southampton,Paul Tierney,0.7,0.4,Moderate,Moderate,Moderate,High,Low,Away,2,2,Draw
49,49,22-09-2018 15:00,Burnley,2.9,1.0,Bournemouth,Anthony Taylor,1.7,0.2,Low,Moderate,Moderate,Moderate,Moderate,Away,1,1,Draw
50,50,22-09-2018 15:00,Manchester Utd,1.3,1.0,Wolves,Kevin Friend,1.1,0.8,Low,Low,Moderate,Moderate,Low,Home,1,1,Draw
51,51,22-09-2018 17:30,Brighton,1.5,1.8,Tottenham,Chris Kavanagh,0.7,0.8,Low,High,Low,High,Moderate,Away,1,1,Draw
52,52,23-09-2018 13:30,West Ham,1.6,0.2,Chelsea,Mike Dean,0.9,0.2,Low,Moderate,Moderate,High,Moderate,Home,1,1,Draw
53,53,23-09-2018 16:00,Arsenal,0.1,2.5,Everton,Jonathan Moss,0.1,0.8,Low,Low,Low,High,Low,Away,0,5,Away
54,54,29-09-2018 12:30,West Ham,1.5,0.8,Manchester Utd,Michael Oliver,0.9,0.3,Low,Moderate,Low,High,High,Away,1,2,Away
55,55,29-09-2018 15:00,Newcastle Utd,1.7,1.7,Leicester City,Simon Hooper,1.3,1.3,Moderate,High,Low,High,Low,Home,2,2,Draw
56,56,29-09-2018 15:00,Everton,1.2,1.3,Fulham,Roger East,0.8,1.1,Low,Low,Moderate,High,Low,Home,2,0,Home
57,57,29-09-2018 15:00,Wolves,1.8,1.2,Southampton,Stuart Attwell,0.7,0.7,Moderate,Low,Moderate,Moderate,Low,Home,2,1,Home
58,58,29-09-2018 15:00,Arsenal,0.9,0.2,Watford,Anthony Taylor,1.3,1.2,Moderate,Moderate,Low,High,Low,Home,0,0,Draw
59,59,29-09-2018 15:00,Manchester City,0.5,1.2,Brighton,Lee Mason,0.4,0.5,Low,Low,Low,High,Low,Home,1,1,Draw
60,60,29-09-2018 17:30,Chelsea,1.6,1.5,Liverpool,Andre Marriner,1.0,1.1,Low,Low,Moderate,Moderate,Low,Away,2,1,Home
61,61,30-09-2018 16:00,Cardiff City,0.5,1.3,Burnley,Martin Atkinson,0.3,0.5,Moderate,Moderate,Low,High,Moderate,Away,0,1,Away
62,62,01-10-2018 20:00,Bournemouth,1.5,1.6,Crystal Palace,Mike Dean,1.2,0.8,Moderate,Moderate,Moderate,Moderate,Low,Home,1,1,Draw
63,63,05-10-2018 20:00,Brighton,2.2,0.4,West Ham,Kevin Friend,1.3,0.2,Low,High,Moderate,Moderate,Moderate,Home,2,0,Home
64,64,06-10-2018 15:00,Leicester City,2.1,1.1,Everton,Andre Marriner,1.5,0.4,Moderate,Low,Low,Moderate,High,Home,1,1,Draw
65,65,06-10-2018 15:00,Tottenham,0.4,2.0,Cardiff City,Mike Dean,0.3,1.9,Low,Moderate,Moderate,Moderate,Moderate,Away,0,4,Away
66,66,06-10-2018 15:00,Watford,2.2,0.6,Bournemouth,Jonathan Moss,2.2,0.6,High,Low,Moderate,Moderate,Low,Away,2,1,Home
67,67,06-10-2018 15:00,Crystal Palace,2.2,1.6,Wolves,Michael Oliver,1.0,0.7,Moderate,Moderate,Low,High,Low,Away,3,3,Draw
68,68,06-10-2018 17:30,Manchester Utd,2.4,1.3,Newcastle Utd,Anthony Taylor,0.3,1.0,Low,Low,Moderate,High,Low,Home,3,1,Home
69,69,07-10-2018 12:00,Fulham,0.3,0.7,Arsenal,Paul Tierney,0.3,0.6,Low,Low,Low,High,Low,Away,1,1,Draw
70,70,07-10-2018 14:15,Southampton,0.9,2.1,Chelsea,Craig Pawson,0.7,1.4,Low,High,Low,Moderate,Low,Away,1,3,Away
71,71,07-10-2018 16:30,Liverpool,1.5,3.7,Manchester City,Martin Atkinson,1.5,3.6,Moderate,Moderate,Moderate,High,Moderate,Away,2,5,Away
72,72,20-10-2018 12:30,Chelsea,3.0,1.5,Manchester Utd,Mike Dean,2.1,0.5,Low,Low,Low,Low,Low,Away,3,0,Home
73,73,20-10-2018 15:00,Bournemouth,0.5,0.5,Southampton,Lee Probert,0.8,0.8,Low,Low,Low,High,Moderate,Home,2,0,Home
74,74,20-10-2018 15:00,Manchester City,0.8,0.7,Burnley,Jonathan Moss,0.5,0.6,Low,Low,Low,High,Low,Home,2,0,Home
75,75,20-10-2018 15:00,West Ham,1.2,2.0,Tottenham,Martin Atkinson,1.1,1.4,Moderate,Moderate,Low,High,Low,Home,2,3,Away
76,76,20-10-2018 15:00,Newcastle Utd,1.4,2.5,Brighton,Andre Marriner,0.2,1.5,Low,Low,Low,High,Low,Home,2,1,Home
77,77,20-10-2018 15:00,Wolves,0.5,1.4,Watford,Lee Mason,0.4,1.1,Moderate,Moderate,Low,Moderate,Moderate,Away,0,3,Away
78,78,20-10-2018 15:00,Cardiff City,1.9,0.5,Fulham,Kevin Friend,2.3,0.9,Low,Low,Low,Moderate,Moderate,Away,3,0,Home
79,79,21-10-2018 16:00,Everton,0.7,1.6,Crystal Palace,Anthony Taylor,0.5,1.7,Low,Low,Low,High,Low,Home,1,5,Away
80,80,22-10-2018 20:00,Arsenal,1.3,0.9,Leicester City,Chris Kavanagh,0.9,0.7,Low,Moderate,Moderate,High,Low,Away,1,0,Home
81,81,27-10-2018 15:00,Brighton,1.2,0.4,Wolves,Anthony Taylor,0.7,0.2,Low,Moderate,Low,Moderate,Low,Away,0,0,Draw
82,82,27-10-2018 15:00,Southampton,0.4,2.2,Newcastle Utd,Chris Kavanagh,0.3,2.1,Low,Low,Moderate,Moderate,Moderate,Away,0,3,Away
83,83,27-10-2018 15:00,Fulham,2.1,1.3,Bournemouth,Andre Marriner,1.8,0.4,Low,Low,Moderate,Moderate,Moderate,Home,2,1,Home
84,84,27-10-2018 15:00,Liverpool,0.5,2.0,Cardiff City,Stuart Attwell,1.5,0.2,Low,Moderate,Moderate,High,Moderate,Away,1,0,Home
85,85,27-10-2018 17:30,Leicester City,0.6,1.2,West Ham,Michael Oliver,0.6,1.0,High,Moderate,Low,High,Low,Home,1,1,Draw
86,86,28-10-2018 13:30,Burnley,4.3,0.8,Chelsea,Craig Pawson,3.1,0.7,High,High,Moderate,High,Low,Away,3,1,Home
87,87,28-10-2018 13:30,Crystal Palace,1.0,1.5,Arsenal,Martin Atkinson,0.9,1.4,Moderate,High,Moderate,Moderate,Low,Home,0,3,Away
88,88,28-10-2018 16:00,Manchester Utd,1.6,1.3,Everton,Jonathan Moss,1.0,1.1,Moderate,Moderate,Low,Moderate,Low,Away,1,2,Away
89,89,29-10-2018 20:00,Tottenham,2.4,1.2,Manchester City,Kevin Friend,1.4,1.0,Moderate,High,Moderate,High,Low,Home,1,1,Draw
90,90,03-11-2018 12:30,Bournemouth,1.1,1.2,Manchester Utd,Paul Tierney,0.4,0.8,Moderate,High,Low,High,Low,Away,1,1,Draw
91,91,03-11-2018 15:00,Cardiff City,1.2,0.7,Leicester City,Lee Probert,0.5,0.7,Low,Moderate,Moderate,High,Low,Home,2,0,Home
92,92,03-11-2018 15:00,Everton,0.7,0.9,Brighton,David Coote,0.4,0.7,Low,Moderate,Low,Moderate,Moderate,Home,0,0,Draw
93,93,03-11-2018 15:00,Newcastle Utd,0.8,0.2,Watford,Craig Pawson,0.5,0.2,Low,Low,Low,High,Moderate,Home,1,1,Draw
94,94,03-11-2018 15:00,West Ham,2.9,0.1,Burnley,Roger East,2.3,0.1,Low,Moderate,Moderate,Moderate,Moderate,Away,2,2,Draw
95,95,03-11-2018 17:30,Arsenal,2.1,1.5,Liverpool,Andre Marriner,1.1,0.6,Moderate,Moderate,Low,High,Low,Home,2,1,Home
96,96,03-11-2018 19:45,Wolves,1.0,0.6,Tottenham,Mike Dean,0.6,0.5,Moderate,Moderate,Low,High,Low,Home,1,0,Home
97,97,04-11-2018 15:00,Manchester City,0.4,2.5,Southampton,Lee Mason,0.3,1.6,Low,Low,Low,High,Moderate,Home,0,3,Away
98,98,04-11-2018 16:00,Chelsea,1.3,0.5,Crystal Palace,Michael Oliver,1.0,0.2,Low,Low,Low,High,Low,Away,1,1,Draw
99,99,10-11-2018 12:30,Cardiff City,0.2,0.9,Brighton,Martin Atkinson,1.3,0.3,Moderate,Moderate,Low,High,Low,Away,0,1,Away
100,100,10-11-2018 15:00,Newcastle Utd,0.5,2.2,Bournemouth,Lee Probert,0.5,1.0,Moderate,High,Moderate,High,Moderate,Away,0,2,Away
101,101,10-11-2018 15:00,Leicester City,2.1,1.3,Burnley,Mike Dean,1.7,1.2,Low,Low,Low,Moderate,Low,Away,2,3,Away
102,102,10-11-2018 15:00,Southampton,1.2,1.8,Watford,Simon Hooper,0.8,1.9,Low,Low,High,Low,Low,Home,2,2,Draw
103,103,10-11-2018 17:30,Crystal Palace,1.6,0.2,Tottenham,Jonathan Moss,0.9,0.2,Low,Moderate,Moderate,High,Moderate,Home,1,1,Draw
104,104,11-11-2018 12:00,Liverpool,2.3,0.4,Fulham,Paul Tierney,2.1,0.1,Low,Low,Moderate,High,Moderate,Home,5,0,Home
105,105,11-11-2018 14:15,Chelsea,2.3,0.2,Everton,Kevin Friend,2.2,0.2,Moderate,Low,Low,High,Low,Away,3,0,Home
106,106,11-11-2018 16:30,Arsenal,1.9,1.4,Wolves,Stuart Attwell,1.2,1.2,Moderate,High,Low,High,Low,Away,3,2,Home
107,107,11-11-2018 16:30,Manchester City,0.9,1.7,Manchester Utd,Anthony Taylor,0.7,1.1,Low,Moderate,Low,High,Low,Home,0,2,Away
108,108,24-11-2018 15:00,Manchester Utd,1.1,0.8,Crystal Palace,Lee Mason,0.9,0.4,Low,Low,Moderate,Moderate,Moderate,Away,1,1,Draw
109,109,24-11-2018 15:00,Fulham,1.0,0.8,Southampton,Michael Oliver,0.7,0.7,Low,Low,Moderate,Moderate,Low,Away,1,0,Home
110,110,24-11-2018 15:00,West Ham,2.4,0.3,Manchester City,Andre Marriner,1.2,0.2,Moderate,Low,Low,Moderate,High,Away,3,0,Home
111,111,24-11-2018 15:00,Brighton,0.6,0.7,Leicester City,Chris Kavanagh,0.6,0.7,Low,Low,Low,High,Moderate,Home,1,0,Home
112,112,24-11-2018 15:00,Everton,2.5,0.9,Cardiff City,Paul Tierney,1.9,0.8,Moderate,Moderate,Moderate,High,Moderate,Away,3,1,Home
113,113,24-11-2018 15:00,Watford,0.2,1.9,Liverpool,Jonathan Moss,0.2,1.0,High,Moderate,Low,High,Low,Home,2,2,Draw
114,114,24-11-2018 17:30,Tottenham,2.9,0.4,Chelsea,Martin Atkinson,1.6,0.4,Moderate,Moderate,Low,High,Low,Home,2,2,Draw
115,115,25-11-2018 13:30,Bournemouth,1.0,1.1,Arsenal,Craig Pawson,0.6,1.0,Moderate,Low,Moderate,Moderate,Moderate,Away,1,2,Away
116,116,26-11-2018 20:30,Burnley,1.0,0.5,Newcastle Utd,Anthony Taylor,0.8,0.5,Moderate,Low,Moderate,Moderate,Moderate,Away,0,2,Away
117,117,30-11-2018 20:00,Cardiff City,1.8,0.6,Wolves,Andre Marriner,0.4,1.2,Moderate,Moderate,Moderate,High,Moderate,Away,0,1,Away
118,118,01-12-2018 15:00,Newcastle Utd,1.4,0.8,West Ham,Paul Tierney,0.3,0.3,Moderate,Low,Moderate,Moderate,Moderate,Away,2,1,Home
119,119,01-12-2018 15:00,Crystal Palace,1.6,1.0,Burnley,Lee Probert,1.5,0.9,Low,Low,High,Low,Low,Away,2,2,Draw
120,120,01-12-2018 15:00,Leicester City,3.1,0.3,Watford,Graham Scott,2.4,0.2,Moderate,High,Low,High,Low,Home,7,0,Home
121,121,01-12-2018 15:00,Manchester City,1.0,0.9,Bournemouth,Stuart Attwell,1.0,0.1,Low,Low,Moderate,Moderate,Low,Away,1,0,Home
122,122,01-12-2018 17:30,Southampton,1.6,1.5,Manchester Utd,Kevin Friend,1.0,1.1,Low,Low,Moderate,Moderate,Low,Away,2,1,Home
123,123,02-12-2018 12:00,Chelsea,0.8,0.9,Fulham,Craig Pawson,0.7,0.9,Low,Moderate,Low,High,Low,Away,1,2,Away
124,124,02-12-2018 14:05,Arsenal,0.9,0.7,Tottenham,Mike Dean,0.5,0.5,Low,Low,Moderate,Moderate,High,Home,0,0,Draw
125,125,02-12-2018 16:15,Liverpool,0.7,2.6,Everton,Chris Kavanagh,0.5,1.0,Moderate,Moderate,Moderate,Moderate,Low,Away,0,3,Away
126,126,04-12-2018 19:45,West Ham,1.1,1.2,Cardiff City,Graham Scott,0.4,0.8,Moderate,High,Low,High,Low,Away,1,1,Draw
127,127,04-12-2018 19:45,Brighton,0.4,2.0,Crystal Palace,Kevin Friend,0.2,1.4,Low,Low,Moderate,High,Moderate,Home,0,3,Away
128,128,04-12-2018 20:00,Watford,1.9,2.1,Manchester City,Paul Tierney,1.5,1.6,Low,Low,Moderate,High,Low,Home,1,3,Away
129,129,05-12-2018 19:45,Wolves,0.4,1.9,Chelsea,Jonathan Moss,0.3,0.9,Moderate,Moderate,Moderate,Moderate,Moderate,Away,1,2,Away
130,130,05-12-2018 19:45,Fulham,0.6,1.4,Leicester City,David Coote,0.5,1.4,Low,Low,Moderate,High,Moderate,Home,1,2,Away
131,131,05-12-2018 19:45,Burnley,1.8,0.9,Liverpool,Stuart Attwell,1.6,0.5,Moderate,Moderate,Moderate,High,Moderate,Away,1,1,Draw
132,132,05-12-2018 19:45,Everton,1.8,1.5,Newcastle Utd,Lee Mason,1.2,0.3,Moderate,Moderate,Low,High,Low,Home,1,1,Draw
133,133,05-12-2018 20:00,Manchester Utd,2.3,1.0,Arsenal,Andre Marriner,2.6,0.9,Low,Moderate,Moderate,High,Moderate,Home,1,1,Draw
134,134,05-12-2018 20:00,Tottenham,1.7,2.7,Southampton,Anthony Taylor,1.0,2.6,Moderate,Moderate,Low,Moderate,Low,Home,0,2,Away
135,135,08-12-2018 12:30,Bournemouth,0.5,1.4,Liverpool,Lee Mason,0.4,1.3,Moderate,Moderate,Moderate,High,Moderate,Away,0,1,Away
136,136,08-12-2018 15:00,West Ham,2.1,1.0,Crystal Palace,Anthony Taylor,2.0,0.2,Low,Low,Low,High,Moderate,Home,3,1,Home
137,137,08-12-2018 15:00,Manchester Utd,1.4,0.9,Fulham,Lee Probert,0.3,0.2,Moderate,Low,Low,High,Moderate,Away,3,2,Home
138,138,08-12-2018 15:00,Burnley,0.7,2.6,Brighton,Martin Atkinson,0.2,2.0,Moderate,Moderate,Low,High,Low,Away,0,2,Away
139,139,08-12-2018 15:00,Cardiff City,1.6,0.6,Southampton,Jonathan Moss,1.4,0.5,Low,High,Moderate,High,Low,Home,2,0,Home
140,140,08-12-2018 17:30,Chelsea,2.4,0.7,Manchester City,Michael Oliver,2.1,0.5,Low,Low,Low,High,Moderate,Away,3,0,Home
141,141,08-12-2018 19:45,Leicester City,2.8,1.6,Tottenham,Craig Pawson,0.9,0.9,Low,Low,Moderate,Low,Low,Home,5,3,Home
142,142,09-12-2018 16:00,Newcastle Utd,1.8,0.8,Wolves,Mike Dean,1.7,0.5,Low,Moderate,Moderate,Moderate,Low,Home,2,2,Draw
143,143,10-12-2018 20:00,Everton,1.3,1.5,Watford,Kevin Friend,0.8,1.3,Moderate,Moderate,Low,High,Low,Away,0,4,Away
144,144,15-12-2018 12:30,Manchester City,2.2,0.4,Everton,Craig Pawson,2.0,0.3,Moderate,High,Low,High,Low,Home,0,0,Draw
145,145,15-12-2018 15:00,Watford,1.6,2.9,Cardiff City,Andy Madley,0.6,0.9,Low,Low,Moderate,Moderate,Low,Away,0,3,Away
146,146,15-12-2018 15:00,Tottenham,0.9,1.2,Burnley,Graham Scott,1.4,0.7,Low,Moderate,Low,High,Low,Home,0,0,Draw
147,147,15-12-2018 15:00,Crystal Palace,1.6,1.8,Leicester City,Michael Oliver,1.5,1.3,Low,Moderate,Moderate,High,Moderate,Home,1,4,Away
148,148,15-12-2018 15:00,Wolves,1.0,1.1,Bournemouth,Simon Hooper,0.9,0.8,Moderate,High,Low,High,Moderate,Away,2,1,Home
149,149,15-12-2018 17:30,Fulham,1.4,1.2,West Ham,Mike Dean,0.7,0.8,Moderate,Moderate,Moderate,High,Low,Home,1,1,Draw
150,150,16-12-2018 13:30,Southampton,0.5,1.0,Arsenal,Chris Kavanagh,0.4,0.9,Moderate,Moderate,Moderate,Moderate,Low,Away,1,2,Away
151,151,16-12-2018 13:30,Brighton,1.0,0.5,Chelsea,Stuart Attwell,1.0,0.4,Low,Low,Low,High,Moderate,Home,1,1,Draw
152,152,16-12-2018 16:00,Liverpool,1.4,1.2,Manchester Utd,Martin Atkinson,0.7,0.5,Low,Moderate,Moderate,Moderate,Low,Home,3,1,Home
153,153,21-12-2018 20:00,Wolves,1.2,1.5,Liverpool,Craig Pawson,1.1,0.2,Moderate,Moderate,Moderate,High,Moderate,Away,3,1,Home
154,154,22-12-2018 12:30,Arsenal,1.2,0.5,Burnley,Kevin Friend,1.1,0.5,Moderate,Moderate,Low,High,Low,Home,2,0,Home
155,155,22-12-2018 15:00,Bournemouth,1.5,1.0,Brighton,Mike Dean,1.4,1.0,Moderate,High,Moderate,High,Moderate,Away,2,2,Draw
156,156,22-12-2018 15:00,Manchester City,3.5,0.3,Crystal Palace,Andre Marriner,1.0,1.1,Low,Moderate,Low,Moderate,High,Home,2,0,Home
157,157,22-12-2018 15:00,West Ham,0.5,0.6,Watford,Lee Mason,0.3,0.6,Moderate,High,Low,High,Moderate,Home,0,0,Draw
158,158,22-12-2018 15:00,Chelsea,1.2,2.3,Leicester City,Lee Probert,1.1,2.1,Low,Low,Moderate,High,Moderate,Home,0,2,Away
159,159,22-12-2018 15:00,Newcastle Utd,2.0,1.7,Fulham,Martin Atkinson,1.4,1.6,Moderate,High,Low,High,Low,Away,1,3,Away
160,160,22-12-2018 17:30,Cardiff City,1.3,0.4,Manchester Utd,Michael Oliver,1.2,0.3,Moderate,Low,Low,Moderate,Low,Home,2,0,Home
161,161,23-12-2018 16:00,Everton,1.3,0.7,Tottenham,Paul Tierney,1.2,0.4,Low,Low,Moderate,Moderate,Moderate,Home,1,1,Draw
162,162,26-12-2018 12:30,Fulham,1.7,0.9,Wolves,Andre Marriner,1.7,0.6,Low,Moderate,Moderate,High,Moderate,Home,1,4,Away
163,163,26-12-2018 15:00,Burnley,3.4,0.4,Everton,Michael Oliver,1.9,0.4,Moderate,High,Moderate,High,Low,Home,4,0,Home
164,164,26-12-2018 15:00,Liverpool,0.6,1.2,Newcastle Utd,Graham Scott,0.5,0.3,Moderate,Moderate,Moderate,High,Moderate,Away,1,1,Draw
165,165,26-12-2018 15:00,Leicester City,2.8,0.6,Manchester City,Mike Dean,0.1,1.8,Low,Moderate,Moderate,High,Moderate,Away,2,0,Home
166,166,26-12-2018 15:00,Tottenham,1.7,2.0,Bournemouth,Chris Kavanagh,1.3,1.7,Low,Moderate,Moderate,Moderate,High,Home,1,2,Away
167,167,26-12-2018 15:00,Crystal Palace,1.3,0.2,Cardiff City,Lee Probert,0.8,0.1,Low,High,Moderate,Moderate,Low,Away,3,0,Home
168,168,26-12-2018 17:15,Brighton,0.5,1.3,Arsenal,Anthony Taylor,0.2,1.0,High,Moderate,Moderate,Moderate,Moderate,Away,1,3,Away
169,169,26-12-2018 19:30,Watford,2.2,0.6,Chelsea,Martin Atkinson,1.7,0.3,Low,Low,Low,High,Low,Home,2,0,Home
170,170,27-12-2018 19:45,Southampton,0.8,0.2,West Ham,Craig Pawson,0.5,0.2,Low,Low,Low,High,Moderate,Home,1,1,Draw
171,171,29-12-2018 15:00,Watford,0.4,4.6,Newcastle Utd,Roger East,0.4,3.6,High,High,Low,Moderate,Moderate,Away,0,4,Away
172,172,29-12-2018 15:00,Brighton,2.0,1.1,Everton,Andy Madley,1.4,1.0,Moderate,Moderate,Moderate,Moderate,Moderate,Away,3,0,Home
